date,sound_level.value
11/27/2025 4:54:03.088000000 PM,4
11/27/2025 4:54:03.203000000 PM,3
11/27/2025 4:54:03.313000000 PM,3
11/27/2025 4:54:03.428000000 PM,3
11/27/2025 4:54:03.539000000 PM,2
11/27/2025 4:54:03.653000000 PM,3
11/27/2025 4:54:03.764000000 PM,3
11/27/2025 4:54:03.879000000 PM,3
11/27/2025 4:54:03.989000000 PM,3
11/27/2025 4:54:04.104000000 PM,3
11/27/2025 4:54:04.215000000 PM,3
11/27/2025 4:54:04.329000000 PM,3
11/27/2025 4:54:04.440000000 PM,3
11/27/2025 4:54:04.550000000 PM,3
11/27/2025 4:54:04.665000000 PM,3
11/27/2025 4:54:04.776000000 PM,3
11/27/2025 4:54:04.890000000 PM,3
11/27/2025 4:54:05.001000000 PM,3
11/27/2025 4:54:05.116000000 PM,3
11/27/2025 4:54:05.226000000 PM,3
11/27/2025 4:54:05.341000000 PM,3
11/27/2025 4:54:05.452000000 PM,3
11/27/2025 4:54:05.566000000 PM,3
11/27/2025 4:54:05.677000000 PM,3
11/27/2025 4:54:05.791000000 PM,3
11/27/2025 4:54:05.902000000 PM,4
11/27/2025 4:54:06.017000000 PM,3
11/27/2025 4:54:06.127000000 PM,4
11/27/2025 4:54:06.238000000 PM,3
11/27/2025 4:54:06.353000000 PM,3
11/27/2025 4:54:06.463000000 PM,4
11/27/2025 4:54:06.578000000 PM,3
11/27/2025 4:54:06.688000000 PM,4
11/27/2025 4:54:06.803000000 PM,3
11/27/2025 4:54:06.914000000 PM,2
11/27/2025 4:54:07.028000000 PM,3
11/27/2025 4:54:07.139000000 PM,3
11/27/2025 4:54:07.254000000 PM,4
11/27/2025 4:54:07.364000000 PM,3
11/27/2025 4:54:07.479000000 PM,4
11/27/2025 4:54:07.590000000 PM,4
11/27/2025 4:54:07.700000000 PM,4
11/27/2025 4:54:07.815000000 PM,3
11/27/2025 4:54:07.926000000 PM,3
11/27/2025 4:54:08.040000000 PM,3
11/27/2025 4:54:08.151000000 PM,4
11/27/2025 4:54:08.265000000 PM,4
11/27/2025 4:54:08.376000000 PM,3
11/27/2025 4:54:08.491000000 PM,5
11/27/2025 4:54:08.601000000 PM,3
11/27/2025 4:54:08.716000000 PM,3
11/27/2025 4:54:08.827000000 PM,3
11/27/2025 4:54:08.941000000 PM,3
11/27/2025 4:54:09.052000000 PM,3
11/27/2025 4:54:09.162000000 PM,3
11/27/2025 4:54:09.277000000 PM,3
11/27/2025 4:54:09.388000000 PM,3
11/27/2025 4:54:09.502000000 PM,3
11/27/2025 4:54:09.613000000 PM,2
11/27/2025 4:54:09.728000000 PM,3
11/27/2025 4:54:09.838000000 PM,3
11/27/2025 4:54:09.953000000 PM,3
11/27/2025 4:54:10.064000000 PM,3
11/27/2025 4:54:10.178000000 PM,4
11/27/2025 4:54:10.289000000 PM,3
11/27/2025 4:54:10.403000000 PM,2
11/27/2025 4:54:10.514000000 PM,4
11/27/2025 4:54:10.629000000 PM,3
11/27/2025 4:54:10.739000000 PM,3
11/27/2025 4:54:10.850000000 PM,3
11/27/2025 4:54:10.965000000 PM,2
11/27/2025 4:54:11.075000000 PM,3
11/27/2025 4:54:11.190000000 PM,3
11/27/2025 4:54:11.301000000 PM,3
11/27/2025 4:54:11.415000000 PM,3
11/27/2025 4:54:11.526000000 PM,3
11/27/2025 4:54:11.640000000 PM,4
11/27/2025 4:54:11.751000000 PM,3
11/27/2025 4:54:11.866000000 PM,3
11/27/2025 4:54:11.976000000 PM,3
11/27/2025 4:54:12.091000000 PM,4
11/27/2025 4:54:12.202000000 PM,3
11/27/2025 4:54:12.312000000 PM,3
11/27/2025 4:54:12.427000000 PM,3
11/27/2025 4:54:12.537000000 PM,4
11/27/2025 4:54:12.652000000 PM,3
11/27/2025 4:54:12.763000000 PM,4
11/27/2025 4:54:12.877000000 PM,3
11/27/2025 4:54:12.988000000 PM,3
11/27/2025 4:54:13.103000000 PM,2
11/27/2025 4:54:13.213000000 PM,3
11/27/2025 4:54:13.328000000 PM,3
11/27/2025 4:54:13.439000000 PM,3
11/27/2025 4:54:13.553000000 PM,3
11/27/2025 4:54:13.664000000 PM,3
11/27/2025 4:54:13.778000000 PM,3
11/27/2025 4:54:13.889000000 PM,3
11/27/2025 4:54:14.000000000 PM,4
